("entity"<|>RAG<|>module<|>Модуль отвечающий за поиск по документации)##
("entity"<|>LLM-оркестратор<|>system<|>Система получающая сообщение пользователя, определяющая тип запроса и выбирающая маршрут обработки)##
("entity"<|>Инструментальный слой<|>component<|>Слой реализующий доступ к базе данных, API и генератору документов)##
("entity"<|>Модуль валидации<|>module<|>Модуль проверяющий формат результата, права доступа и соответствие исходному запросу)##
("entity"<|>база данных<|>database<|>Хранилище данных доступное через инструментальный слой)##
("entity"<|>API<|>api<|>Интерфейс программирования приложений доступный через инструментальный слой)##
("entity"<|>генератор документов<|>component<|>Компонент генерирующий документы доступный через инструментальный слой)##
("entity"<|>поиск по документации<|>process<|>Процесс поиска информации в документации выполняемый модулем RAG)##
("entity"<|>определение типа запроса<|>operation<|>Операция определения типа запроса выполняемая LLM-оркестратором)##
("entity"<|>выбор маршрута обработки<|>process<|>Процесс выбора маршрута обработки выполняемый LLM-оркестратором)##
("entity"<|>доступ к базе данных<|>operation<|>Операция доступа к базе данных выполняемая инструментальным слоем)##
("entity"<|>проверка формата результата<|>operation<|>Операция проверки формата результата выполняемая модулем валидации)##
("entity"<|>проверка прав доступа<|>operation<|>Операция проверки прав доступа выполняемая модулем валидации)##
("entity"<|>соответствие исходному запросу<|>requirement<|>Требование соответствия результата исходному запросу проверяемое модулем валидации)##
("relationship"<|>RAG<|>поиск по документации<|>Модуль RAG выполняет процесс поиска по документации<|>10)##
("relationship"<|>LLM-оркестратор<|>определение типа запроса<|>LLM-оркестратор выполняет операцию определения типа запроса<|>10)##
("relationship"<|>LLM-оркестратор<|>выбор маршрута обработки<|>LLM-оркестратор выполняет процесс выбора маршрута обработки<|>10)##
("relationship"<|>Инструментальный слой<|>база данных<|>Инструментальный слой обеспечивает доступ к базе данных<|>9)##
("relationship"<|>Инструментальный слой<|>API<|>Инструментальный слой обеспечивает доступ к API<|>9)##
("relationship"<|>Инструментальный слой<|>генератор документов<|>Инструментальный слой обеспечивает доступ к генератору документов<|>9)##
("relationship"<|>Модуль валидации<|>проверка формата результата<|>Модуль валидации выполняет операцию проверки формата результата<|>10)##
("relationship"<|>Модуль валидации<|>проверка прав доступа<|>Модуль валидации выполняет операцию проверки прав доступа<|>10)##
("relationship"<|>Модуль валидации<|>соответствие исходному запросу<|>Модуль валидации проверяет требование соответствия исходному запросу<|>10)##
("relationship"<|>LLM-оркестратор<|>RAG<|>LLM-оркестратор взаимодействует с модулем RAG для обработки запросов<|>7)##
("relationship"<|>Инструментальный слой<|>Модуль валидации<|>Инструментальный слой предоставляет данные для модуля валидации<|>6)##
("relationship"<|>база данных<|>генератор документов<|>База данных и генератор документов являются ресурсами инструментального слоя<|>5)##
("relationship"<|>API<|>генератор документов<|>API и генератор документов являются ресурсами инструментального слоя<|>5)##
("relationship"<|>поиск по документации<|>LLM-оркестратор<|>Процесс поиска по документации инициируется LLM-оркестратором<|>8)##
("relationship"<|>выбор маршрута обработки<|>Инструментальный слой<|>Выбранный маршрут обработки включает использование инструментального слоя<|>7)##
("relationship"<|>проверка формата результата<|>соответствие исходному запросу<|>Проверка формата результата является частью проверки соответствия исходному запросу<|>6)##
("relationship"<|>LLM-оркестратор<|>Модуль валидации<|>LLM-оркестратор передает результаты модулю валидации<|>8)##
("relationship"<|>RAG<|>база данных<|>Модуль RAG может использовать базу данных для поиска<|>6)##
("relationship"<|>Инструментальный слой<|>LLM-оркестратор<|>Инструментальный слой предоставляет ресурсы LLM-оркестратору<|>7)##
("relationship"<|>Модуль валидации<|>база данных<|>Модуль валидации может проверять права доступа к базе данных<|>5)##
("relationship"<|>API<|>поиск по документации<|>API может использоваться для поиска по документации<|>4)##
("relationship"<|>генератор документов<|>соответствие исходному запросу<|>Генератор документов создает результат проверяемый на соответствие<|>6)##
("relationship"<|>LLM-оркестратор<|>API<|>LLM-оркестратор может использовать API через инструментальный слой<|>5)##
("relationship"<|>база данных<|>проверка прав доступа<|>База данных является объектом проверки прав доступа<|>7)##
("relationship"<|>Модуль валидации<|>LLM-оркестратор<|>Модуль валидации возвращает результат LLM-оркестратору<|>8)##
("relationship"<|>RAG<|>Инструментальный слой<|>Модуль RAG использует Инструментальный слой для доступа к данным<|>6)##
("relationship"<|>поиск по документации<|>база данных<|>Процесс поиска по документации использует базу данных<|>7)##
("relationship"<|>выбор маршрута обработки<|>Модуль валидации<|>Выбранный маршрут может включать модуль валидации<|>6)##
("relationship"<|>проверка формата результата<|>API<|>Проверка формата результата может применяться к данным из API<|>4)##
("relationship"<|>генератор документов<|>LLM-оркестратор<|>Генератор документов является частью процесса обработки LLM-оркестратора<|>5)##
("relationship"<|>база данных<|>Модуль валидации<|>База данных может использоваться модулем валидации для проверки прав<|>5)##
("relationship"<|>API<|>Модуль валидации<|>API может использоваться модулем валидации для получения данных<|>4)##
("relationship"<|>LLM-оркестратор<|>генератор документов<|>LLM-оркестратор управляет генератором документов<|>6)##
("relationship"<|>RAG<|>Модуль валидации<|>Результат RAG передается модулю валидации<|>7)##
("relationship"<|>Инструментальный слой<|>поиск по документации<|>Инструментальный слой поддерживает поиск по документации<|>5)##
("relationship"<|>база данных<|>LLM-оркестратор<|>База данных доступна LLM-оркестратору через инструментальный слой<|>6)##
("relationship"<|>API<|>поиск по документации<|>API может использоваться для поиска по документации<|>4)##
("relationship"<|>генератор документов<|>Инструментальный слой<|>Генератор документов является частью инструментального слоя<|>10)##
("relationship"<|>база данных<|>Инструментальный слой<|>База данных является частью инструментального слоя<|>10)##
("relationship"<|>API<|>Инструментальный
